subject,version,auc,error.abs,precision,recall,fmeasure
apns,v1,0.987582044,0.020477816,0.949402198,0.948805461,0.948700672
apns,v2,0.973636348,0.018691589,0.90305897,0.901869159,0.902145129
apns,v3,0.973636348,0.018691589,0.90305897,0.901869159,0.902145129
apns,v4,0.968737179,0.032186459,0.899252694,0.896781354,0.897086237
apns,v5,0.966251062,0.042688465,0.919104251,0.915531335,0.915649363
assj,v1,0.994443904,0.024691358,0.964523489,0.963982331,0.963535617
assj,v2,0.98848153,0.01481234,0.953185827,0.953335561,0.953014389
assj,v3,0.990597162,0.026725805,0.960380923,0.95985443,0.959250597
assj,v4,0.972107856,0.013247818,0.935611594,0.937125434,0.936091289
assj,v5,0.973117198,0.028255528,0.946479061,0.947788698,0.945649719
joda,v1,0.96208913,0.008113736,0.914616377,0.914913477,0.914700165
joda,v2,0.980285588,0.01048019,0.934818326,0.935037429,0.934816033
joda,v3,0.983975732,0.03162356,0.940016964,0.939252336,0.938584018
lafj,v1,0.967788703,0.027284427,0.912872605,0.911454311,0.911484787
lafj,v2,0.970355496,0.039786812,0.913480454,0.910634606,0.910613011
lafj,v3,0.959554637,0.063392008,0.914237131,0.90782588,0.907305472
lafj,v4,0.9235494,4.47E-04,0.865347795,0.865309319,0.865328373
lafj,v5,0.922087967,0.024886628,0.876225823,0.877115363,0.87607862
lafj,v6,0.905705036,0.067909144,0.882889799,0.881071637,0.876994823
lang,v1,0.99657339,0.012069102,0.968319334,0.96836791,0.968172457
lang,v2,0.996298058,0.01310215,0.968042902,0.968068414,0.967853653
lang,v3,0.996234396,0.012670642,0.967673063,0.967715362,0.967505518
lang,v4,0.996086273,0.013486494,0.967754592,0.967773552,0.967549896
lang,v5,0.994871338,0.020908632,0.964816518,0.964556372,0.964166721
lang,v6,0.992548942,0.023058252,0.961538858,0.961240898,0.960751505
msg,v1,0.982510458,0.029331307,0.934027439,0.932674772,0.932541825
msg,v2,0.985396537,0.02513465,0.938272715,0.937163375,0.9371246
msg,v3,0.980650452,0.029510274,0.941943681,0.939169005,0.939695931
msg,v4,0.974860148,0.03970696,0.924871406,0.922490842,0.922203385
msg,v5,0.96233812,0.037217991,0.917961398,0.916223595,0.915788916
msg,v6,0.966173084,0.035630761,0.920797563,0.918970973,0.918700134
uaa,v1,0.98626889,0.027972028,0.943282361,0.940111171,0.940871149
uaa,v2,0.982523589,0.025983146,0.934277893,0.931179775,0.932019781
uaa,v3,0.959923755,0.007642923,0.897498564,0.896361969,0.89686715
vrapt,v1,0.991186489,0.025262687,0.959141521,0.958640733,0.958165912
vrapt,v2,0.946249128,0.050301065,0.911384244,0.91208893,0.908344775
wire,v1,0.953305713,0.020875151,0.868818145,0.869931754,0.868960965
wire,v2,0.949999175,0.025326474,0.865009181,0.866244559,0.865017793
wire,v3,0.943932877,0.011591963,0.854558085,0.855486862,0.85489861
