subject,type,trainVersion,testversion,Precision,Recall,FMeasure,AUC,ps,cs,(ps-as),(cs-as),as,abs(ps-as),abs(cs-as)
lang,rf,294,cff,0.968319334,0.96836791,0.968172457,0.99657339,0.716612763,0.797823223,0.012069102,0.093279561,0.704543662,0.012069102,0.093279561
lang,rf,cff,951,0.968450348,0.968421466,0.968183045,0.996288282,0.719049113,0.797073984,0.014632041,0.092656912,0.704417072,0.014632041,0.092656912
lang,rf,951,959,0.968543644,0.968578378,0.96837678,0.99654743,0.717048486,0.797073984,0.01251373,0.092539228,0.704534756,0.01251373,0.092539228
lang,rf,959,724,0.968617949,0.968636061,0.968424999,0.996366589,0.717685341,0.797310934,0.013094445,0.092720038,0.704590897,0.013094445,0.092720038
lang,rf,724,e09,0.965069156,0.964906144,0.964556213,0.995319316,0.723135517,0.798453616,0.019082041,0.09440014,0.704053476,0.019082041,0.09440014
lang,rf,e09,e87,0.963392108,0.96332676,0.962969499,0.994265079,0.727093447,0.80294334,0.018090109,0.093940003,0.709003337,0.018090109,0.093940003
uaa,rf,abe,92b,0.943282361,0.940111171,0.940871149,0.98626889,0.32096109,0.383720638,0.027972028,0.090731576,0.292989062,0.027972028,0.090731576
uaa,rf,92b,9c2,0.956991625,0.955758427,0.956098546,0.986899104,0.304775281,0.38026861,0.015800562,0.09129389,0.288974719,0.015800562,0.09129389
uaa,rf,9c2,05f,0.89500053,0.893763375,0.894311456,0.961216745,0.260929379,0.3466845,0.008101498,0.093856619,0.252827881,0.008101498,0.093856619
joda,rf,639,1ad,0.914616377,0.914913477,0.914700165,0.96208913,0.646083148,0.781539815,0.008113736,0.143570403,0.637969412,0.008113736,0.143570403
joda,rf,1ad,f12,0.95600607,0.955961293,0.955738475,0.993472972,0.658316597,0.76392222,0.015263831,0.120869454,0.643052766,0.015263831,0.120869454
joda,rf,f12,c3e,0.936800016,0.935738608,0.934927377,0.983484078,0.676736941,0.762841774,0.035716873,0.121821705,0.641020068,0.035716873,0.121821705
assj,rf,a6b,859,0.964523489,0.963982331,0.963535617,0.994443904,0.720126855,0.761242496,0.024691358,0.065807,0.695435497,0.024691358,0.065807
assj,rf,859,dd0,0.962407342,0.962467981,0.962432681,0.994442635,0.691168282,0.743402383,0.002116049,0.05435015,0.689052233,0.002116049,0.05435015
assj,rf,dd0,dd1,0.969825251,0.969634937,0.969334758,0.994537528,0.729330149,0.776073013,0.018082566,0.064825429,0.711247583,0.018082566,0.064825429
assj,rf,dd1,302,0.947010456,0.947744717,0.947298727,0.974177457,0.838082221,0.880034697,0.007044475,0.048996951,0.831037746,0.007044475,0.048996951
assj,rf,302,eee,0.962854936,0.962940213,0.961519996,0.987842004,0.868959869,0.907351556,0.026617527,0.065009214,0.842342342,0.026617527,0.065009214
msg,rf,83f,356,0.934027439,0.932674772,0.932541825,0.982510458,0.548176292,0.612007599,0.029331307,0.093162614,0.518844985,0.029331307,0.093162614
msg,rf,356,bae,0.946946812,0.945391981,0.945345468,0.987811287,0.529174147,0.592909934,0.029473369,0.093209156,0.499700778,0.029473369,0.093209156
msg,rf,bae,7d0,0.953065988,0.950936906,0.951317883,0.986575753,0.375396035,0.415769892,0.026070426,0.066444284,0.349325609,0.026070426,0.066444284
msg,rf,7d0,648,0.954499435,0.952820513,0.95269337,0.988146161,0.558095238,0.622419048,0.031648352,0.095972161,0.526446886,0.031648352,0.095972161
msg,rf,648,9f4,0.954172832,0.954016382,0.953953625,0.988792221,0.561862337,0.641329214,0.0120707,0.091537577,0.549791637,0.0120707,0.091537577
msg,rf,9f4,f15,0.966385446,0.966157656,0.966129054,0.996108268,0.540789655,0.61700509,0.012106204,0.08832164,0.52868345,0.012106204,0.08832164
apns,rf,bb6,187,0.949402198,0.948805461,0.948700672,0.987582044,0.559726962,0.651894198,0.020477816,0.112645051,0.539249147,0.020477816,0.112645051
apns,rf,187,0c1,0.914906756,0.913551402,0.913820379,0.983367295,0.438084112,0.549077103,0.021028037,0.132021028,0.417056075,0.021028037,0.132021028
apns,rf,0c1,557,0.966185402,0.966121495,0.966141298,0.996721735,0.420560748,0.549077103,0.003504673,0.132021028,0.417056075,0.003504673,0.132021028
apns,rf,557,153,0.946509893,0.945615982,0.945724213,0.991924751,0.4572697,0.572708102,0.018867925,0.134306326,0.438401776,0.018867925,0.134306326
apns,rf,153,266,0.925085186,0.924613987,0.924677663,0.980700433,0.475930972,0.577665758,0.013623978,0.115358765,0.462306994,0.013623978,0.115358765
lafj,rf,7bd,92c,0.912872605,0.911454311,0.911484787,0.967788703,0.507335907,0.601674389,0.027284427,0.121622909,0.48005148,0.027284427,0.121622909
lafj,rf,92c,be1,0.945306344,0.944595935,0.944611435,0.99062435,0.50210709,0.599778136,0.018963808,0.116634854,0.483143282,0.018963808,0.116634854
lafj,rf,be1,d7e,0.91242709,0.908063749,0.907685266,0.96768984,0.565176023,0.634397003,0.052687916,0.121908896,0.512488107,0.052687916,0.121908896
lafj,rf,d7e,be9,0.841199801,0.826043182,0.828981475,0.934709958,0.570198009,0.757804005,-0.074840586,0.11276541,0.645038595,0.074840586,0.11276541
lafj,rf,be9,e4e,0.913811254,0.912509678,0.9110666,0.959669002,0.686096671,0.754231833,0.045017144,0.113152306,0.641079527,0.045017144,0.113152306
lafj,rf,e4e,c8e,0.927343113,0.926150262,0.924665892,0.97154822,0.717880023,0.794177053,0.043331392,0.119628422,0.674548631,0.043331392,0.119628422
vrapt,rf,71f,585,0.959141521,0.958640733,0.958165912,0.991186489,0.705902079,0.776102169,0.025262687,0.095462777,0.680639392,0.025262687,0.095462777
vrapt,rf,585,6a4,0.914222289,0.914590088,0.910897322,0.950160015,0.811208893,0.874850394,0.050949514,0.114591014,0.760259379,0.050949514,0.114591014
wire,rf,3ca,b98,0.868818145,0.869931754,0.868960965,0.953305713,0.329185066,0.472505018,-0.020875151,0.122444801,0.350060217,0.020875151,0.122444801
wire,rf,b98,239,0.970758499,0.970320538,0.970420163,0.996659734,0.361297982,0.472896715,0.010684606,0.12228334,0.350613376,0.010684606,0.12228334
wire,rf,239,653,0.959780213,0.958268934,0.958546548,0.991022578,0.369397218,0.472569552,0.021638331,0.124810665,0.347758887,0.021638331,0.124810665
