subject,measure,test,value
apns,precision,auto,0.997211999
apns,precision,manual,0.89707096
apns,recall,auto,0.997275204
apns,recall,manual,0.883742053
apns,fmeasure,auto,0.997228852
apns,fmeasure,manual,0.883622345
apns,auc,auto,0.90834868
apns,auc,manual,0.935405294
apns,error,auto,-9.08E-04
apns,error,manual,0.08719346
lafj,precision,auto,0.892993077
lafj,precision,manual,0.888060413
lafj,recall,auto,0.837041351
lafj,recall,manual,0.876295865
lafj,fmeasure,auto,0.845625174
lafj,fmeasure,manual,0.868657238
lafj,auc,auto,0.92469369
lafj,auc,manual,0.876147698
lafj,error,auto,0.152708212
lafj,error,manual,0.107163658
lang,precision,auto,0.891950112
lang,precision,manual,0.904219097
lang,recall,auto,0.831130968
lang,recall,manual,0.900902609
lang,fmeasure,auto,0.843944956
lang,fmeasure,manual,0.896342184
lang,auc,auto,0.914715254
lang,auc,manual,0.895657359
lang,error,auto,0.145166787
lang,error,manual,0.071488167
msg,precision,auto,0.980675427
msg,precision,manual,0.91931245
msg,recall,auto,0.9750307
msg,recall,manual,0.909065896
msg,fmeasure,auto,0.976558085
msg,fmeasure,manual,0.908037566
msg,auc,auto,0.989831499
msg,auc,manual,0.924482508
msg,error,auto,0.022786192
msg,error,manual,0.080478745
