subject,yes.prop
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\aho-corasick.arff,0.373966942
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\anomaly-detection.arff,0.062305296
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\apk-parser.arff,0.001231148
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\appengine-guestbook-java.arff,0.414634146
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\are-we-consistent-yet.arff,0.018867925
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\ashot.arff,0.577639752
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\brickhouse.arff,0.037994516
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\byteunits.arff,0.161290323
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\cassandra-reaper.arff,0.141524736
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\chromecast-java-api-v2.arff,0.277717391
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\clojure-maven-plugin.arff,0.028639618
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\cloudhopper-smpp.arff,0.394273595
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\compress.arff,0.50042123
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\computoser.arff,0.037565498
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\Confucius.arff,0.615686275
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\cors-filter.arff,0.8175
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\crawler4j.arff,0.060006819
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\css-selectors.arff,0.644454383
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\csv-serde.arff,0.490909091
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\cucumber-reporting.arff,0.357052097
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\ddd-cqrs-sample.arff,0.60132291
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\DiskLruCache.arff,0.751445087
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\dropwizard-configurable-assets-bundle.arff,0.215547703
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\dropwizard-guice.arff,0.598540146
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\dropwizard-quartz.arff,0.833333333
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\efflux.arff,0.326485461
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\elasticsearch-readonlyrest-plugin.arff,0.53046595
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\elasticsearch-reindex.arff,0.197765363
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\evernote-sdk-java.arff,0.002075782
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\evo-inflector.arff,0.4784689
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\ews-java-api.arff,0.045144515
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\exp4j.arff,0.574576271
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\expiringmap.arff,0.141924959
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\fastweixin.arff,0.027543564
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\flip-tables.arff,0.932330827
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\gdx-artemis.arff,0.532476802
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\gelfj.arff,0.31475029
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\GenericTree.arff,0.814977974
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\geo.arff,0.727272727
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\geocluster-facet.arff,0.486590038
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\geohash-java.arff,0.755420054
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\geoip-api-java.arff,0.103321033
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\geojson-jackson.arff,0.451612903
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\getdown.arff,0.017112632
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\glacieruploader.arff,0.318548387
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\greplin-bloom-filter.arff,0.585695007
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\greplin-lucene-utils.arff,0.148558758
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\greplin-zookeeper-utils.arff,0.578740157
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\gson-fire.arff,0.521594684
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\gwt-bootstrap.arff,0.002033792
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\hadoop-book.arff,0.017998941
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\hashids-java.arff,0.673960613
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\HTTP-Proxy-Servlet.arff,0.116054159
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\IClojure.arff,0.082896118
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\invokebinder.arff,0.409650419
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jackson-dataformat-csv.arff,0.30174116
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jackson-datatype-guava.arff,0.43258832
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jackson-datatype-joda.arff,0.487547893
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jackson-module-afterburner.arff,0.574131407
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\JActor.arff,0.392230576
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\JAdventure.arff,0.06701381
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\javacpp.arff,0.032688019
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\java-grok.arff,0.309593023
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\java-jwt.arff,0.837398374
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\java-libpst.arff,0.14461719
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\java-merge-sort.arff,0.28276699
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\javapoet.arff,0.636030534
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\java-sizeof.arff,0.130759651
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\javatuples.arff,0.048944631
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\java-uuid-generator.arff,0.237572254
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\JavaVerbalExpressions.arff,0.832853026
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jenkins-ansicolor-plugin.arff,0.448931116
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jenkins-sonar-plugin.arff,0.582959641
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jetty-session-redis.arff,0.156446064
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jieba-analysis.arff,0.174654752
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jInstagram.arff,0.0777667
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jitescript.arff,0.223741007
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jmeter-maven-plugin.arff,0.346979866
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jmxutils.arff,0.422560976
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\joss.arff,0.498605449
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jPopulator.arff,0.413179916
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jprotobuf.arff,0.195071336
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jreversepro.arff,0.126377459
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jsemver.arff,0.861969806
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jsonrpc4j.arff,0.199080724
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jtar.arff,0.485596708
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\jumblr.arff,0.342829077
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\kafka-spout.arff,0.815864023
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\kafka-websocket.arff,0.195329087
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\KeptCollections.arff,0.309875813
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\kryo-serializers.arff,0.669793621
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\la4j.arff,0.47333515
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\LastCalc.arff,0.294406453
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\linq4j.arff,0.222671337
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\Liqp.arff,0.645223236
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\log4j-jsonevent-layout.arff,0.94214876
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\log-synth.arff,0.448286052
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\low-gc-membuffers.arff,0.549628629
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\maven-git-commit-id-plugin.arff,0.407054337
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\maven-s3-wagon.arff,0.002109705
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\metrics-statsd.arff,0.018867925
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\microorm.arff,0.963333333
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\mimecraft.arff,0.815899582
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\multi-thread-context.arff,0.533936652
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\nar-maven-plugin.arff,0.068677514
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\netty-in-action.arff,0.074233129
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\netty-tools.arff,0.288220551
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\obd-java-api.arff,0.458333333
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\parsii.arff,0.538754161
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\patricia-trie.arff,0.421888053
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\PauselessHashMap.arff,0.595818815
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\photon-core.arff,0.280898876
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\pollexor.arff,0.278008299
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\proguard-maven-plugin.arff,0.051746442
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\protoparser.arff,0.476853594
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\pusher-websocket-java.arff,0.438156831
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\raml-java-parser.arff,0.533382245
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\redline.arff,0.304358412
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\redline-smalltalk.arff,0.330493665
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\RestFixture.arff,0.364859949
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\rome.arff,0.374032487
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\rtree.arff,0.657127133
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\SansOrm.arff,0.001538462
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\scribe-java.arff,0.293719212
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\scrypt.arff,0.814849624
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\skype-java-api.arff,0.087900163
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\sonar-objective-c.arff,0.235908142
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\spatial4j.arff,0.385601266
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\spring-data-commons.arff,0.555407447
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\spring-data-envers.arff,0.654320988
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\spring-elasticsearch.arff,0.37593985
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\spring-mvc-showcase.arff,0.776683087
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\spring-rest-service-oauth.arff,0.801801802
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\spring-retry.arff,0.574334898
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\spr-mvc-hib.arff,0.033613445
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\stateless4j.arff,0.484025559
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\statsd-jvm-profiler.arff,0.363036304
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\storm-elastic-search.arff,0.00390625
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\storm-jms.arff,0.039473684
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\storm-pattern.arff,0.364335127
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\swagger-maven-plugin.arff,0.08938148
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\TProfiler.arff,0.021362587
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\urlbuilder.arff,0.8136419
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\visualee.arff,0.199279712
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\warcbase.arff,0.117001056
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\webapp-runner.arff,0.046413502
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\webbit.arff,0.380980335
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\webprotege.arff,0.094883592
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\wsc.arff,0.08295082
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\wsdoc.arff,0.186868687
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\xembly.arff,0.481737414
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\xsoup.arff,0.353953739
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\zt-exec.arff,0.186266094
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test1\AICE_arffs_original\zt-zip.arff,0.258027849
